Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,CP10A_scaffolds.fasta_PROKKA_09032023,CP12E_scaffolds.fasta_PROKKA_09032023,CP13A_scaffolds.fasta_PROKKA_09032023,CP15C_scaffolds.fasta_PROKKA_09032023,CP17D_scaffolds.fasta_PROKKA_09032023,CP19F2_scaffolds.fasta_PROKKA_09032023,CP20G1_scaffolds.fasta_PROKKA_09032023,CP2A_scaffolds.fasta_PROKKA_09032023,CP3F2_scaffolds.fasta_PROKKA_09032023,CP5A_scaffolds.fasta_PROKKA_09032023
group_2388,,hypothetical protein,10,10,1.0,1,4507,,,,168,168,168.0,JPLAHNLF_04031,JAGMMPDK_01834,EONIFOAI_03009,BJIDENJG_03719,HGPKINJB_06269,IJMDIMPO_01458,CJGAGBCL_03376,OLBBELCE_00346,DHHEPMPN_02567,IHHDMFPH_05161
group_2387,,hypothetical protein,10,10,1.0,1,4506,,,,387,387,387.0,JPLAHNLF_01922,JAGMMPDK_01989,EONIFOAI_05483,BJIDENJG_03112,HGPKINJB_02846,IJMDIMPO_02809,CJGAGBCL_01820,OLBBELCE_03997,DHHEPMPN_01021,IHHDMFPH_02879
btuD_8~~~btuD_6,btuD_8;btuD_6,Vitamin B12 import ATP-binding protein BtuD,10,10,1.0,1,4505,,,,975,1011,1000.2,JPLAHNLF_03274,JAGMMPDK_03141,EONIFOAI_04543,BJIDENJG_04517,HGPKINJB_03439,IJMDIMPO_04016,CJGAGBCL_02877,OLBBELCE_04718,DHHEPMPN_03577,IHHDMFPH_01082
group_2386,,hypothetical protein,10,10,1.0,1,4504,,,,558,573,559.5,JPLAHNLF_04226,JAGMMPDK_04240,EONIFOAI_03790,BJIDENJG_04112,HGPKINJB_03924,IJMDIMPO_04526,CJGAGBCL_04354,OLBBELCE_04870,DHHEPMPN_04270,IHHDMFPH_03912
yqaA,yqaA,Inner membrane protein YqaA,10,10,1.0,1,4503,,,,441,441,441.0,JPLAHNLF_05474,JAGMMPDK_05445,EONIFOAI_01078,BJIDENJG_00652,HGPKINJB_01207,IJMDIMPO_05302,CJGAGBCL_05434,OLBBELCE_05662,DHHEPMPN_05164,IHHDMFPH_00079
ypeA_1~~~ypeA_2,ypeA_1;ypeA_2,Acetyltransferase YpeA,10,10,1.0,1,4501,,,,825,894,887.1,JPLAHNLF_04001,JAGMMPDK_03909,EONIFOAI_01892,BJIDENJG_02106,HGPKINJB_01925,IJMDIMPO_03105,CJGAGBCL_03648,OLBBELCE_03237,DHHEPMPN_02217,IHHDMFPH_03664
gsiB,gsiB,Glutathione-binding protein GsiB,10,10,1.0,1,4500,,,,1515,1581,1521.6,JPLAHNLF_03328,JAGMMPDK_03195,EONIFOAI_04595,BJIDENJG_04569,HGPKINJB_03387,IJMDIMPO_04070,CJGAGBCL_02823,OLBBELCE_04664,DHHEPMPN_03523,IHHDMFPH_01134
group_2385,,hypothetical protein,10,10,1.0,1,4499,,,,201,201,201.0,JPLAHNLF_03006,JAGMMPDK_02709,EONIFOAI_05432,BJIDENJG_05404,HGPKINJB_05630,IJMDIMPO_03572,CJGAGBCL_02210,OLBBELCE_02969,DHHEPMPN_02968,IHHDMFPH_04647
kipR,kipR;,HTH-type transcriptional regulator KipR;hypothetical protein,10,10,1.0,1,4498,,,,831,915,906.6,JPLAHNLF_01877,JAGMMPDK_01944,EONIFOAI_03403,BJIDENJG_03156,HGPKINJB_02890,IJMDIMPO_02764,CJGAGBCL_03723,OLBBELCE_04965,DHHEPMPN_00976,IHHDMFPH_02835
hdfR_7~~~hdfR_6,hdfR_7;hdfR_6,HTH-type transcriptional regulator HdfR,10,10,1.0,1,4497,,,,864,864,864.0,JPLAHNLF_04420,JAGMMPDK_03936,EONIFOAI_01919,BJIDENJG_02079,HGPKINJB_02991,IJMDIMPO_03078,CJGAGBCL_03621,OLBBELCE_03264,DHHEPMPN_02190,IHHDMFPH_03691
group_2383,,hypothetical protein,10,10,1.0,1,4495,,,,135,135,135.0,JPLAHNLF_03746,JAGMMPDK_03616,EONIFOAI_02510,BJIDENJG_03888,HGPKINJB_02663,IJMDIMPO_03802,CJGAGBCL_02494,OLBBELCE_04233,DHHEPMPN_04190,IHHDMFPH_02430
group_2381,,Carboxynorspermidine synthase,10,10,1.0,1,4492,,,,1200,1314,1245.6,JPLAHNLF_02911,JAGMMPDK_02804,EONIFOAI_03235,BJIDENJG_04364,HGPKINJB_04295,IJMDIMPO_03667,CJGAGBCL_04037,OLBBELCE_03064,DHHEPMPN_03063,IHHDMFPH_04010
group_2380,,hypothetical protein,10,10,1.0,1,4491,,,,201,201,201.0,JPLAHNLF_00388,JAGMMPDK_00733,EONIFOAI_01379,BJIDENJG_00269,HGPKINJB_00861,IJMDIMPO_00388,CJGAGBCL_00656,OLBBELCE_01056,DHHEPMPN_00387,IHHDMFPH_00770
group_2379,,hypothetical protein,10,10,1.0,1,4490,,,,477,504,492.3,JPLAHNLF_05085,JAGMMPDK_05502,EONIFOAI_01146,BJIDENJG_00584,HGPKINJB_01139,IJMDIMPO_05573,CJGAGBCL_05832,OLBBELCE_05369,DHHEPMPN_05558,IHHDMFPH_00010
group_2378,,hypothetical protein,10,10,1.0,1,4489,,,,351,351,351.0,JPLAHNLF_03927,JAGMMPDK_04109,EONIFOAI_01820,BJIDENJG_02177,HGPKINJB_01996,IJMDIMPO_03179,CJGAGBCL_03468,OLBBELCE_03163,DHHEPMPN_02290,IHHDMFPH_03539
ttgC_1,ttgC_1,putative efflux pump outer membrane protein TtgC,10,10,1.0,1,4488,,,,1545,1626,1617.9,JPLAHNLF_01178,JAGMMPDK_01258,EONIFOAI_00731,BJIDENJG_00999,HGPKINJB_01553,IJMDIMPO_01828,CJGAGBCL_01143,OLBBELCE_01960,DHHEPMPN_00742,IHHDMFPH_00399
mscS_1,;mscS_1,hypothetical protein;Small-conductance mechanosensitive channel,10,11,1.1,1,4486,,,,897,2121,1932.0,JPLAHNLF_04664,JAGMMPDK_04812,EONIFOAI_05157,BJIDENJG_05137,HGPKINJB_05178,IJMDIMPO_05013,CJGAGBCL_04304,OLBBELCE_02792,DHHEPMPN_01451,IHHDMFPH_01973;IHHDMFPH_01974
group_2377,,hypothetical protein,10,10,1.0,1,4485,,,,264,264,264.0,JPLAHNLF_01248,JAGMMPDK_01328,EONIFOAI_00790,BJIDENJG_00940,HGPKINJB_01494,IJMDIMPO_01758,CJGAGBCL_01213,OLBBELCE_02030,DHHEPMPN_00672,IHHDMFPH_00249
group_2376,,hypothetical protein,10,10,1.0,1,4484,,,,423,423,423.0,JPLAHNLF_05058,JAGMMPDK_05680,EONIFOAI_01124,BJIDENJG_00606,HGPKINJB_01161,IJMDIMPO_05347,CJGAGBCL_05391,OLBBELCE_05342,DHHEPMPN_05209,IHHDMFPH_00033
group_2375,,hypothetical protein,10,10,1.0,1,4482,,,,363,363,363.0,JPLAHNLF_02945,JAGMMPDK_02770,EONIFOAI_03269,BJIDENJG_04398,HGPKINJB_04329,IJMDIMPO_03633,CJGAGBCL_04003,OLBBELCE_03030,DHHEPMPN_03029,IHHDMFPH_04044
group_2374,,hypothetical protein,10,10,1.0,1,4481,,,,882,939,906.0,JPLAHNLF_04010,JAGMMPDK_03918,EONIFOAI_01901,BJIDENJG_02097,HGPKINJB_02973,IJMDIMPO_03096,CJGAGBCL_03639,OLBBELCE_03246,DHHEPMPN_02208,IHHDMFPH_03673
group_2373,,hypothetical protein,10,10,1.0,1,4480,,,,1527,1626,1616.1,JPLAHNLF_03147,JAGMMPDK_05748,EONIFOAI_04821,BJIDENJG_06152,HGPKINJB_03563,IJMDIMPO_03889,CJGAGBCL_05211,OLBBELCE_05094,DHHEPMPN_03704,IHHDMFPH_05438
group_2372,,hypothetical protein,10,10,1.0,1,4479,,,,240,240,240.0,JPLAHNLF_04874,JAGMMPDK_04869,EONIFOAI_01233,BJIDENJG_00416,HGPKINJB_00715,IJMDIMPO_00532,CJGAGBCL_04659,OLBBELCE_01200,DHHEPMPN_04934,IHHDMFPH_00915
group_2371,,hypothetical protein,10,10,1.0,1,4478,,,,255,255,255.0,JPLAHNLF_03439,JAGMMPDK_04392,EONIFOAI_03642,BJIDENJG_02896,HGPKINJB_03277,IJMDIMPO_04394,CJGAGBCL_02081,OLBBELCE_03733,DHHEPMPN_04386,IHHDMFPH_03225
group_2370,,hypothetical protein,10,10,1.0,1,4477,,,,390,390,390.0,JPLAHNLF_03046,JAGMMPDK_02669,EONIFOAI_05392,BJIDENJG_05364,HGPKINJB_05590,IJMDIMPO_03532,CJGAGBCL_02250,OLBBELCE_02929,DHHEPMPN_02928,IHHDMFPH_04606
group_2369,,hypothetical protein,10,10,1.0,1,4476,,,,282,282,282.0,JPLAHNLF_02027,JAGMMPDK_02095,EONIFOAI_01708,BJIDENJG_04841,HGPKINJB_02109,IJMDIMPO_02914,CJGAGBCL_01926,OLBBELCE_03892,DHHEPMPN_01126,IHHDMFPH_03651
group_2368,,hypothetical protein,10,10,1.0,1,4475,,,,561,561,561.0,JPLAHNLF_04188,JAGMMPDK_04278,EONIFOAI_03823,BJIDENJG_04079,HGPKINJB_03891,IJMDIMPO_04488,CJGAGBCL_04748,OLBBELCE_04832,DHHEPMPN_04232,IHHDMFPH_03946
group_2367,,hypothetical protein,10,10,1.0,1,4474,,,,417,417,417.0,JPLAHNLF_05046,JAGMMPDK_05692,EONIFOAI_01112,BJIDENJG_00618,HGPKINJB_01173,IJMDIMPO_05335,CJGAGBCL_05379,OLBBELCE_05330,DHHEPMPN_05197,IHHDMFPH_00045
group_2366,,hypothetical protein,10,10,1.0,1,4473,,,,366,366,366.0,JPLAHNLF_04456,JAGMMPDK_03972,EONIFOAI_01956,BJIDENJG_02042,HGPKINJB_03028,IJMDIMPO_03042,CJGAGBCL_03585,OLBBELCE_03300,DHHEPMPN_02154,IHHDMFPH_03722
group_2365,,hypothetical protein,10,10,1.0,1,4472,,,,447,447,447.0,JPLAHNLF_02065,JAGMMPDK_02133,EONIFOAI_01746,BJIDENJG_04803,HGPKINJB_02071,IJMDIMPO_02952,CJGAGBCL_01964,OLBBELCE_03854,DHHEPMPN_01164,IHHDMFPH_03613
czcR_1,czcR_1,Transcriptional activator protein CzcR,10,10,1.0,1,4471,,,,597,672,627.0,JPLAHNLF_01217,JAGMMPDK_01297,EONIFOAI_00770,BJIDENJG_00960,HGPKINJB_01514,IJMDIMPO_01789,CJGAGBCL_01182,OLBBELCE_01999,DHHEPMPN_00703,IHHDMFPH_00360
group_2364,,hypothetical protein,10,10,1.0,1,4470,,,,3225,3225,3225.0,JPLAHNLF_02883,JAGMMPDK_02571,EONIFOAI_05098,BJIDENJG_05425,HGPKINJB_02563,IJMDIMPO_03434,CJGAGBCL_01619,OLBBELCE_02731,DHHEPMPN_01390,IHHDMFPH_01916
group_2362,,hypothetical protein,10,10,1.0,1,4468,,,,744,744,744.0,JPLAHNLF_02789,JAGMMPDK_02477,EONIFOAI_04004,BJIDENJG_04003,HGPKINJB_02467,IJMDIMPO_03340,CJGAGBCL_01713,OLBBELCE_02637,DHHEPMPN_01296,IHHDMFPH_01822
yjgH,yjgH,RutC family protein YjgH,10,10,1.0,1,4467,,,,393,393,393.0,JPLAHNLF_05676,JAGMMPDK_03213,EONIFOAI_04841,BJIDENJG_03052,HGPKINJB_05745,IJMDIMPO_04088,CJGAGBCL_02805,OLBBELCE_03608,DHHEPMPN_05700,IHHDMFPH_05682
group_2359,,hypothetical protein,10,10,1.0,1,4464,,,,912,912,912.0,JPLAHNLF_03887,JAGMMPDK_04149,EONIFOAI_01779,BJIDENJG_02218,HGPKINJB_02037,IJMDIMPO_03219,CJGAGBCL_03508,OLBBELCE_03123,DHHEPMPN_02330,IHHDMFPH_03579
group_2358,,hypothetical protein,10,10,1.0,1,4463,,,,486,486,486.0,JPLAHNLF_00165,JAGMMPDK_00956,EONIFOAI_01540,BJIDENJG_00108,HGPKINJB_01022,IJMDIMPO_00165,CJGAGBCL_00877,OLBBELCE_00835,DHHEPMPN_00166,IHHDMFPH_00616
livF_5,livF_5,High-affinity branched-chain amino acid transport ATP-binding protein LivF,10,10,1.0,1,4461,,,,768,768,768.0,JPLAHNLF_03882,JAGMMPDK_04154,EONIFOAI_01774,BJIDENJG_02223,HGPKINJB_02042,IJMDIMPO_03224,CJGAGBCL_03513,OLBBELCE_03118,DHHEPMPN_02335,IHHDMFPH_03584
cckA,cckA,Sensor kinase CckA,10,10,1.0,1,4460,,,,372,372,372.0,JPLAHNLF_01278,JAGMMPDK_01358,EONIFOAI_00820,BJIDENJG_00910,HGPKINJB_01464,IJMDIMPO_01728,CJGAGBCL_01243,OLBBELCE_02060,DHHEPMPN_00642,IHHDMFPH_00219
group_2357,,hypothetical protein,10,10,1.0,1,4459,,,,225,225,225.0,JPLAHNLF_05149,JAGMMPDK_05048,EONIFOAI_02100,BJIDENJG_01897,HGPKINJB_03172,IJMDIMPO_05388,CJGAGBCL_05045,OLBBELCE_05416,DHHEPMPN_05250,IHHDMFPH_03808
folK_1,folK_1,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,10,10,1.0,1,4458,,,,486,486,486.0,JPLAHNLF_02703,JAGMMPDK_02391,EONIFOAI_04068,BJIDENJG_03940,HGPKINJB_02404,IJMDIMPO_03254,CJGAGBCL_04783,OLBBELCE_02551,DHHEPMPN_01210,IHHDMFPH_01756
group_2356,,hypothetical protein,10,10,1.0,1,4457,,,,705,810,789.0,JPLAHNLF_01102,JAGMMPDK_01182,EONIFOAI_00665,BJIDENJG_01065,HGPKINJB_01619,IJMDIMPO_01904,CJGAGBCL_01067,OLBBELCE_01884,DHHEPMPN_00818,IHHDMFPH_00474
group_2355,,hypothetical protein,10,10,1.0,1,4456,,,,1218,1419,1278.3,JPLAHNLF_05375,JAGMMPDK_05352,EONIFOAI_05280,BJIDENJG_00550,HGPKINJB_04710,IJMDIMPO_05466,CJGAGBCL_04583,OLBBELCE_05568,DHHEPMPN_05391,IHHDMFPH_04978
group_2354,,hypothetical protein,10,10,1.0,1,4455,,,,564,633,626.1,JPLAHNLF_01210,JAGMMPDK_01290,EONIFOAI_00763,BJIDENJG_00967,HGPKINJB_01521,IJMDIMPO_01796,CJGAGBCL_01175,OLBBELCE_01992,DHHEPMPN_00710,IHHDMFPH_00367
mhqP,mhqP,Putative oxidoreductase MhqP,10,10,1.0,1,4454,,,,435,435,435.0,JPLAHNLF_03278,JAGMMPDK_03145,EONIFOAI_04547,BJIDENJG_04521,HGPKINJB_03435,IJMDIMPO_04020,CJGAGBCL_02873,OLBBELCE_04714,DHHEPMPN_03573,IHHDMFPH_01086
mdtC_3~~~mdtC_4~~~mdtC_2,mdtC_3;mdtC_4;mdtC_2,Multidrug resistance protein MdtC,10,13,1.3,1,4453,,,,1095,3126,2403.923076923077,JPLAHNLF_03182,JAGMMPDK_03049,EONIFOAI_05519;EONIFOAI_05518,BJIDENJG_05937;BJIDENJG_05938,HGPKINJB_03531;HGPKINJB_03532,IJMDIMPO_03924,CJGAGBCL_05850,OLBBELCE_04810,DHHEPMPN_03669,IHHDMFPH_00990
group_2353,,hypothetical protein,10,10,1.0,1,4452,,,,399,399,399.0,JPLAHNLF_00230,JAGMMPDK_00891,EONIFOAI_01477,BJIDENJG_00171,HGPKINJB_00959,IJMDIMPO_00230,CJGAGBCL_00812,OLBBELCE_00900,DHHEPMPN_00231,IHHDMFPH_00672
group_2352,,hypothetical protein,10,10,1.0,1,4451,,,,972,1236,1156.8,JPLAHNLF_03307,JAGMMPDK_03174,EONIFOAI_04576,BJIDENJG_04550,HGPKINJB_03406,IJMDIMPO_04049,CJGAGBCL_02844,OLBBELCE_04685,DHHEPMPN_03544,IHHDMFPH_01115
group_2351,,hypothetical protein,10,10,1.0,1,4450,,,,276,276,276.0,JPLAHNLF_04047,JAGMMPDK_01850,EONIFOAI_02996,BJIDENJG_03705,HGPKINJB_04264,IJMDIMPO_01474,CJGAGBCL_03391,OLBBELCE_00362,DHHEPMPN_02583,IHHDMFPH_05173
group_2350,,hypothetical protein,10,10,1.0,1,4449,,,,339,435,387.0,JPLAHNLF_04814,JAGMMPDK_04929,EONIFOAI_01169,BJIDENJG_00480,HGPKINJB_00651,IJMDIMPO_00592,CJGAGBCL_04719,OLBBELCE_01260,DHHEPMPN_04874,IHHDMFPH_00973
group_2349,,Acetyltransferase,10,10,1.0,1,4448,,,,531,531,531.0,JPLAHNLF_05050,JAGMMPDK_05688,EONIFOAI_01116,BJIDENJG_00614,HGPKINJB_01169,IJMDIMPO_05339,CJGAGBCL_05383,OLBBELCE_05334,DHHEPMPN_05201,IHHDMFPH_00041
prfB,prfB,Peptide chain release factor 2;Peptide chain release factor RF2,10,10,1.0,1,4447,,,,1209,1383,1226.4,JPLAHNLF_04191,JAGMMPDK_04275,EONIFOAI_03820,BJIDENJG_04082,HGPKINJB_03894,IJMDIMPO_04491,CJGAGBCL_04751,OLBBELCE_04835,DHHEPMPN_04235,IHHDMFPH_03943
group_2345,,hypothetical protein,10,10,1.0,1,4443,,,,1041,1041,1041.0,JPLAHNLF_00077,JAGMMPDK_01044,EONIFOAI_01628,BJIDENJG_00019,HGPKINJB_01110,IJMDIMPO_00077,CJGAGBCL_00965,OLBBELCE_00747,DHHEPMPN_00078,IHHDMFPH_00528
group_2344,,hypothetical protein,10,10,1.0,1,4442,,,,138,138,138.0,JPLAHNLF_03578,JAGMMPDK_03275,EONIFOAI_02673,BJIDENJG_04919,HGPKINJB_04841,IJMDIMPO_04735,CJGAGBCL_02977,OLBBELCE_00630,DHHEPMPN_04763,IHHDMFPH_05095
yejE_2,yejE_2,Inner membrane ABC transporter permease protein YejE,10,10,1.0,1,4441,,,,663,1023,987.0,JPLAHNLF_03559,JAGMMPDK_03256,EONIFOAI_06284,BJIDENJG_06257,HGPKINJB_04822,IJMDIMPO_05783,CJGAGBCL_05939,OLBBELCE_00649,DHHEPMPN_04782,IHHDMFPH_05114
oprD_4,;oprD_4,hypothetical protein;Porin D,10,10,1.0,1,4440,,,,948,1395,1350.3,JPLAHNLF_02299,JAGMMPDK_01698,EONIFOAI_04483,BJIDENJG_02355,HGPKINJB_06113,IJMDIMPO_01322,CJGAGBCL_04070,OLBBELCE_00210,DHHEPMPN_02431,IHHDMFPH_01261
gcvA_6~~~gcvA_7,gcvA_6;gcvA_7,Glycine cleavage system transcriptional activator,10,10,1.0,1,4439,,,,879,897,880.8,JPLAHNLF_03420,JAGMMPDK_04411,EONIFOAI_03661,BJIDENJG_02915,HGPKINJB_03296,IJMDIMPO_04375,CJGAGBCL_02100,OLBBELCE_03714,DHHEPMPN_04367,IHHDMFPH_03206
uppP_1,uppP_1,Undecaprenyl-diphosphatase,10,10,1.0,1,4438,,,,831,849,840.0,JPLAHNLF_01049,JAGMMPDK_01129,EONIFOAI_00618,BJIDENJG_01112,HGPKINJB_01666,IJMDIMPO_01957,CJGAGBCL_01014,OLBBELCE_01831,DHHEPMPN_00871,IHHDMFPH_00521
group_2343,,hypothetical protein,10,10,1.0,1,4437,,,,219,225,223.2,JPLAHNLF_01119,JAGMMPDK_01199,EONIFOAI_00682,BJIDENJG_01048,HGPKINJB_01602,IJMDIMPO_01887,CJGAGBCL_01084,OLBBELCE_01901,DHHEPMPN_00801,IHHDMFPH_00457
group_2342,,hypothetical protein,10,10,1.0,1,4436,,,,285,285,285.0,JPLAHNLF_03314,JAGMMPDK_03181,EONIFOAI_04582,BJIDENJG_04556,HGPKINJB_03400,IJMDIMPO_04056,CJGAGBCL_02837,OLBBELCE_04678,DHHEPMPN_03537,IHHDMFPH_01121
group_2341,,hypothetical protein,10,10,1.0,1,4435,,,,852,852,852.0,JPLAHNLF_00106,JAGMMPDK_01015,EONIFOAI_01599,BJIDENJG_00048,HGPKINJB_01081,IJMDIMPO_00106,CJGAGBCL_00936,OLBBELCE_00776,DHHEPMPN_00107,IHHDMFPH_00557
inh,inh,Proteinase inhibitor,10,10,1.0,1,4434,,,,300,300,300.0,JPLAHNLF_01110,JAGMMPDK_01190,EONIFOAI_00673,BJIDENJG_01057,HGPKINJB_01611,IJMDIMPO_01896,CJGAGBCL_01075,OLBBELCE_01892,DHHEPMPN_00810,IHHDMFPH_00466
group_2340,,hypothetical protein,10,10,1.0,1,4433,,,,384,384,384.0,JPLAHNLF_04229,JAGMMPDK_04237,EONIFOAI_03787,BJIDENJG_04115,HGPKINJB_03927,IJMDIMPO_04529,CJGAGBCL_04357,OLBBELCE_04873,DHHEPMPN_04273,IHHDMFPH_03909
group_2339,,hypothetical protein,10,10,1.0,1,4432,,,,156,324,273.6,JPLAHNLF_04204,JAGMMPDK_04262,EONIFOAI_03807,BJIDENJG_04095,HGPKINJB_03907,IJMDIMPO_04504,CJGAGBCL_04764,OLBBELCE_04848,DHHEPMPN_04248,IHHDMFPH_03930
infC,infC,Translation initiation factor IF-3,10,10,1.0,1,4431,,,,339,390,359.4,JPLAHNLF_05176,JAGMMPDK_05021,EONIFOAI_02073,BJIDENJG_01924,HGPKINJB_03145,IJMDIMPO_05361,CJGAGBCL_05072,OLBBELCE_05389,DHHEPMPN_05223,IHHDMFPH_03781
kdgR_3~~~kdgR_2,kdgR_3;kdgR_2,HTH-type transcriptional regulator KdgR,10,10,1.0,1,4430,,,,1047,1059,1057.8,JPLAHNLF_02985,JAGMMPDK_02730,EONIFOAI_03309,BJIDENJG_04438,HGPKINJB_04369,IJMDIMPO_03593,CJGAGBCL_02189,OLBBELCE_02990,DHHEPMPN_02989,IHHDMFPH_04085
group_2338,,hypothetical protein,10,10,1.0,1,4429,,,,351,351,351.0,JPLAHNLF_04122,JAGMMPDK_03467,EONIFOAI_02920,BJIDENJG_03629,HGPKINJB_04188,IJMDIMPO_01549,CJGAGBCL_04173,OLBBELCE_00437,DHHEPMPN_02725,IHHDMFPH_04418
group_2337,,hypothetical protein,10,10,1.0,1,4428,,,,393,393,393.0,JPLAHNLF_05460,JAGMMPDK_05459,EONIFOAI_01064,BJIDENJG_00666,HGPKINJB_01221,IJMDIMPO_05288,CJGAGBCL_05448,OLBBELCE_05676,DHHEPMPN_05150,IHHDMFPH_00093
group_2336,,hypothetical protein,10,10,1.0,1,4427,,,,2022,2022,2022.0,JPLAHNLF_02987,JAGMMPDK_02728,EONIFOAI_03311,BJIDENJG_04440,HGPKINJB_04371,IJMDIMPO_03591,CJGAGBCL_02191,OLBBELCE_02988,DHHEPMPN_02987,IHHDMFPH_04087
ywiE,ywiE,putative cardiolipin synthase YwiE,10,10,1.0,1,4426,,,,1158,1203,1162.5,JPLAHNLF_03521,JAGMMPDK_04310,EONIFOAI_03560,BJIDENJG_02814,HGPKINJB_03195,IJMDIMPO_05865,CJGAGBCL_01999,OLBBELCE_03815,DHHEPMPN_04468,IHHDMFPH_03301
group_2334,,hypothetical protein,10,10,1.0,1,4422,,,,2394,2394,2394.0,JPLAHNLF_01192,JAGMMPDK_01272,EONIFOAI_00745,BJIDENJG_00985,HGPKINJB_01539,IJMDIMPO_01814,CJGAGBCL_01157,OLBBELCE_01974,DHHEPMPN_00728,IHHDMFPH_00385
group_2333,,hypothetical protein,10,10,1.0,1,4421,,,,282,282,282.0,JPLAHNLF_04247,JAGMMPDK_04219,EONIFOAI_03770,BJIDENJG_04132,HGPKINJB_03944,IJMDIMPO_04547,CJGAGBCL_04375,OLBBELCE_04891,DHHEPMPN_04291,IHHDMFPH_03892
yadV_1,yadV_1,putative fimbrial chaperone YadV,10,10,1.0,1,4420,,,,756,756,756.0,JPLAHNLF_01301,JAGMMPDK_01381,EONIFOAI_00843,BJIDENJG_00887,HGPKINJB_01441,IJMDIMPO_01705,CJGAGBCL_01266,OLBBELCE_02083,DHHEPMPN_00619,IHHDMFPH_00197
group_2332,,hypothetical protein,10,10,1.0,1,4419,,,,237,237,237.0,JPLAHNLF_03367,JAGMMPDK_03558,EONIFOAI_04925,BJIDENJG_02968,HGPKINJB_03349,IJMDIMPO_04322,CJGAGBCL_02153,OLBBELCE_03661,DHHEPMPN_02634,IHHDMFPH_03153
serC,serC,Phosphoserine aminotransferase,10,10,1.0,1,4418,,,,975,1086,1008.3,JPLAHNLF_03320,JAGMMPDK_03187,EONIFOAI_04588,BJIDENJG_04562,HGPKINJB_03394,IJMDIMPO_04062,CJGAGBCL_02831,OLBBELCE_04672,DHHEPMPN_03531,IHHDMFPH_01127
group_2331,,hypothetical protein,10,10,1.0,1,4417,,,,321,951,699.0,JPLAHNLF_02886,JAGMMPDK_02574,EONIFOAI_05099,BJIDENJG_05424,HGPKINJB_02564,IJMDIMPO_03437,CJGAGBCL_01616,OLBBELCE_02734,DHHEPMPN_01393,IHHDMFPH_01920
bvgA_4~~~bvgA_1,bvgA_4;bvgA_1,Virulence factors putative positive transcription regulator BvgA,10,10,1.0,1,4416,,,,444,627,572.1,JPLAHNLF_03232,JAGMMPDK_03099,EONIFOAI_04501,BJIDENJG_04475,HGPKINJB_03481,IJMDIMPO_03974,CJGAGBCL_02919,OLBBELCE_04760,DHHEPMPN_03619,IHHDMFPH_01040
group_2325,,hypothetical protein,10,10,1.0,1,4410,,,,336,336,336.0,JPLAHNLF_01893,JAGMMPDK_01960,EONIFOAI_03419,BJIDENJG_03140,HGPKINJB_02874,IJMDIMPO_02780,6_refound_56,7_refound_70,DHHEPMPN_00992,IHHDMFPH_02851
group_2321,,hypothetical protein,10,10,1.0,1,4406,,,,90,90,90.0,JPLAHNLF_03292,JAGMMPDK_03159,EONIFOAI_04561,BJIDENJG_04535,HGPKINJB_03421,IJMDIMPO_04034,CJGAGBCL_02859,OLBBELCE_04700,DHHEPMPN_03559,IHHDMFPH_01100
group_2319,,hypothetical protein,10,10,1.0,1,4404,,,,93,93,93.0,JPLAHNLF_05351,JAGMMPDK_05328,EONIFOAI_05256,BJIDENJG_00526,HGPKINJB_04686,IJMDIMPO_05490,CJGAGBCL_04607,OLBBELCE_05544,DHHEPMPN_05415,IHHDMFPH_05002
group_2318,,hypothetical protein,10,10,1.0,1,4403,,,,93,93,93.0,JPLAHNLF_04256,JAGMMPDK_04210,EONIFOAI_03761,BJIDENJG_04141,HGPKINJB_03953,IJMDIMPO_04556,CJGAGBCL_04384,OLBBELCE_04900,DHHEPMPN_04300,IHHDMFPH_03883
group_2315,,hypothetical protein,10,10,1.0,1,4400,,,,96,96,96.0,JPLAHNLF_03743,JAGMMPDK_03613,EONIFOAI_02513,BJIDENJG_03891,HGPKINJB_02660,IJMDIMPO_03805,CJGAGBCL_02491,OLBBELCE_04230,DHHEPMPN_04193,IHHDMFPH_02433
group_2314,,hypothetical protein,10,10,1.0,1,4399,,,,96,96,96.0,JPLAHNLF_00059,JAGMMPDK_01063,EONIFOAI_05880,BJIDENJG_05221,HGPKINJB_05480,IJMDIMPO_00059,CJGAGBCL_00985,OLBBELCE_00729,DHHEPMPN_00059,IHHDMFPH_05201
group_2304,,hypothetical protein,10,10,1.0,1,4389,,,,123,123,123.0,JPLAHNLF_00332,JAGMMPDK_00789,EONIFOAI_01435,BJIDENJG_00213,HGPKINJB_00917,IJMDIMPO_00332,CJGAGBCL_00712,OLBBELCE_01000,DHHEPMPN_00331,IHHDMFPH_00714
group_2303,,hypothetical protein,10,10,1.0,1,4388,,,,123,123,123.0,JPLAHNLF_00234,JAGMMPDK_00887,EONIFOAI_01473,BJIDENJG_00175,HGPKINJB_00955,IJMDIMPO_00234,CJGAGBCL_00808,OLBBELCE_00904,DHHEPMPN_00235,IHHDMFPH_00676
