Gene,Non-unique Gene name,Annotation,628C_scaffolds.fasta_PROKKA_09032023,629A2A_scaffolds.fasta_PROKKA_09032023,630A_scaffolds.fasta_PROKKA_09032023,631B_scaffolds.fasta_PROKKA_09032023,632B_scaffolds.fasta_PROKKA_09032023,633A_scaffolds.fasta_PROKKA_09032023,638A1_scaffolds.fasta_PROKKA_09032023,643E_scaffolds.fasta_PROKKA_09032023,649D1_scaffolds.fasta_PROKKA_09032023
yfcA,yfcA,putative membrane transporter protein YfcA,AGBKPNDM_04940,OPLBPFOJ_04623,CBFJPJAN_04701,PFCICLLP_04721,IBOIIBEG_05418,MFFOPBKH_03026,POFILHDL_04445,DHNKKDKB_03737,PJIANKBB_04865
group_2177,,putative methyltransferase,AGBKPNDM_04798,OPLBPFOJ_05530,CBFJPJAN_05530,PFCICLLP_05347,IBOIIBEG_03530,MFFOPBKH_03083,POFILHDL_03904,DHNKKDKB_03794,PJIANKBB_05518
hisJ_2,hisJ_2,Histidine-binding periplasmic protein,AGBKPNDM_02942,OPLBPFOJ_00156,CBFJPJAN_01058,PFCICLLP_00811,IBOIIBEG_01965,MFFOPBKH_00205,POFILHDL_00420,DHNKKDKB_00420,PJIANKBB_00177
group_2176,,hypothetical protein,AGBKPNDM_04812,OPLBPFOJ_05544,CBFJPJAN_05544,PFCICLLP_05333,IBOIIBEG_03516,MFFOPBKH_03097,POFILHDL_03918,DHNKKDKB_03808,PJIANKBB_05504
group_2175,,hypothetical protein,AGBKPNDM_04208,OPLBPFOJ_00300,CBFJPJAN_00913,PFCICLLP_00956,IBOIIBEG_04688,MFFOPBKH_00352,POFILHDL_00272,DHNKKDKB_00272,PJIANKBB_00320
scpB_2,scpB_2,Methylmalonyl-CoA decarboxylase,AGBKPNDM_03139,OPLBPFOJ_00444,CBFJPJAN_00769,PFCICLLP_01100,IBOIIBEG_02461,MFFOPBKH_00509,POFILHDL_00115,DHNKKDKB_00115,PJIANKBB_00508
nimR_3,nimR_3,HTH-type transcriptional regulator NimR,AGBKPNDM_03125,OPLBPFOJ_00458,CBFJPJAN_00755,PFCICLLP_01114,IBOIIBEG_02475,MFFOPBKH_00523,POFILHDL_00101,DHNKKDKB_00101,PJIANKBB_00522
group_2174,,hypothetical protein,AGBKPNDM_04797,OPLBPFOJ_05529,CBFJPJAN_05529,PFCICLLP_05348,IBOIIBEG_03531,MFFOPBKH_03082,POFILHDL_03903,DHNKKDKB_03793,PJIANKBB_05519
yedY1,yedY1,Putative protein-methionine-sulfoxide reductase subunit YedZ1,AGBKPNDM_03582,OPLBPFOJ_01404,CBFJPJAN_01373,PFCICLLP_01579,IBOIIBEG_00146,MFFOPBKH_02264,POFILHDL_02217,DHNKKDKB_02480,PJIANKBB_01436
group_2173,,hypothetical protein,AGBKPNDM_03484,OPLBPFOJ_01502,CBFJPJAN_01275,PFCICLLP_01677,IBOIIBEG_00057,MFFOPBKH_02167,POFILHDL_02314,DHNKKDKB_02383,PJIANKBB_01336
group_2172,,hypothetical protein,AGBKPNDM_03009,OPLBPFOJ_00223,CBFJPJAN_00990,PFCICLLP_00879,IBOIIBEG_02031,MFFOPBKH_00276,POFILHDL_00348,DHNKKDKB_00348,PJIANKBB_00244
iolB,iolB,5-deoxy-glucuronate isomerase,AGBKPNDM_05506,OPLBPFOJ_03926,CBFJPJAN_05614,PFCICLLP_04493,IBOIIBEG_03400,MFFOPBKH_03218,POFILHDL_04039,DHNKKDKB_05299,PJIANKBB_05616
group_2169,,hypothetical protein,AGBKPNDM_03204,OPLBPFOJ_05460,CBFJPJAN_01737,PFCICLLP_01216,IBOIIBEG_00514,MFFOPBKH_04340,POFILHDL_04653,DHNKKDKB_04943,PJIANKBB_04752
group_2167,,hypothetical protein,AGBKPNDM_05532,OPLBPFOJ_04448,CBFJPJAN_05559,PFCICLLP_05573,IBOIIBEG_00538,MFFOPBKH_05459,POFILHDL_05454,DHNKKDKB_05290,PJIANKBB_05563
rhaR_2,rhaR_2,HTH-type transcriptional activator RhaR,AGBKPNDM_03305,OPLBPFOJ_01226,CBFJPJAN_01551,PFCICLLP_01401,IBOIIBEG_00332,MFFOPBKH_02385,POFILHDL_02096,DHNKKDKB_02601,PJIANKBB_01620
fetB,fetB,putative iron export permease protein FetB,AGBKPNDM_02864,OPLBPFOJ_00078,CBFJPJAN_01136,PFCICLLP_00733,IBOIIBEG_01886,MFFOPBKH_00132,POFILHDL_00493,DHNKKDKB_00493,PJIANKBB_00098
fecE_2,fecE_2,Fe(3+) dicitrate transport ATP-binding protein FecE,AGBKPNDM_02839,OPLBPFOJ_00053,CBFJPJAN_01161,PFCICLLP_00708,IBOIIBEG_01861,MFFOPBKH_00107,POFILHDL_00518,DHNKKDKB_00518,PJIANKBB_00073
yadV_1,yadV_1,putative fimbrial chaperone YadV,AGBKPNDM_03344,OPLBPFOJ_01265,CBFJPJAN_01512,PFCICLLP_01440,IBOIIBEG_00233,MFFOPBKH_02346,POFILHDL_02135,DHNKKDKB_02562,PJIANKBB_01581
group_2164,,hypothetical protein,AGBKPNDM_04879,OPLBPFOJ_03875,CBFJPJAN_04299,PFCICLLP_04442,IBOIIBEG_03450,MFFOPBKH_03166,POFILHDL_03987,DHNKKDKB_03877,PJIANKBB_04608
phnV,phnV,Putative 2-aminoethylphosphonate transport system permease protein PhnV,AGBKPNDM_03102,OPLBPFOJ_00481,CBFJPJAN_00732,PFCICLLP_01137,IBOIIBEG_02498,MFFOPBKH_00546,POFILHDL_00078,DHNKKDKB_00078,PJIANKBB_00546
group_2163,,hypothetical protein,AGBKPNDM_02895,OPLBPFOJ_00109,CBFJPJAN_01105,PFCICLLP_00764,IBOIIBEG_01917,MFFOPBKH_00163,POFILHDL_00462,DHNKKDKB_00462,PJIANKBB_00129
group_2161,,putative protein,AGBKPNDM_04934,OPLBPFOJ_04617,CBFJPJAN_04707,PFCICLLP_04727,IBOIIBEG_05412,MFFOPBKH_03032,POFILHDL_04451,DHNKKDKB_03743,PJIANKBB_04859
dapF_3,dapF_3,Diaminopimelate epimerase,AGBKPNDM_04856,OPLBPFOJ_03852,CBFJPJAN_04322,PFCICLLP_04419,IBOIIBEG_03473,MFFOPBKH_03143,POFILHDL_03964,DHNKKDKB_03854,PJIANKBB_04630
cmpC,cmpC,Bicarbonate transport ATP-binding protein CmpC,AGBKPNDM_03262,OPLBPFOJ_01098,CBFJPJAN_01680,PFCICLLP_01273,IBOIIBEG_00457,MFFOPBKH_04398,POFILHDL_04595,DHNKKDKB_05001,PJIANKBB_04808
hpcG,hpcG,2-oxo-hept-4-ene-17-dioate hydratase,AGBKPNDM_02886,OPLBPFOJ_00100,CBFJPJAN_01114,PFCICLLP_00755,IBOIIBEG_01908,MFFOPBKH_00154,POFILHDL_00471,DHNKKDKB_00471,PJIANKBB_00120
bacC,bacC,Dihydroanticapsin 7-dehydrogenase,AGBKPNDM_02880,OPLBPFOJ_00094,CBFJPJAN_01120,PFCICLLP_00749,IBOIIBEG_01902,MFFOPBKH_00148,POFILHDL_00477,DHNKKDKB_00477,PJIANKBB_00114
menB,menB,14-dihydroxy-2-naphthoyl-CoA synthase,AGBKPNDM_03020,OPLBPFOJ_00234,CBFJPJAN_00979,PFCICLLP_00890,IBOIIBEG_02042,MFFOPBKH_00287,POFILHDL_00337,DHNKKDKB_00337,PJIANKBB_00255
group_2158,,hypothetical protein,AGBKPNDM_02993,OPLBPFOJ_00207,CBFJPJAN_01006,PFCICLLP_00863,IBOIIBEG_02015,MFFOPBKH_00260,POFILHDL_00364,DHNKKDKB_00364,PJIANKBB_00228
group_2157,,hypothetical protein,AGBKPNDM_03480,OPLBPFOJ_01506,CBFJPJAN_01271,PFCICLLP_01681,IBOIIBEG_00053,MFFOPBKH_02163,POFILHDL_02318,DHNKKDKB_02379,PJIANKBB_01332
spaR_1,spaR_1,Surface presentation of antigens protein SpaR,AGBKPNDM_04200,OPLBPFOJ_00308,CBFJPJAN_00905,PFCICLLP_00964,IBOIIBEG_04696,MFFOPBKH_00360,POFILHDL_00264,DHNKKDKB_00264,PJIANKBB_00328
crt_3,crt_3,Short-chain-enoyl-CoA hydratase,AGBKPNDM_04938,OPLBPFOJ_04621,CBFJPJAN_04703,PFCICLLP_04723,IBOIIBEG_05416,MFFOPBKH_03028,POFILHDL_04447,DHNKKDKB_03739,PJIANKBB_04863
rsbQ,rsbQ,Sigma factor SigB regulation protein RsbQ,AGBKPNDM_04854,OPLBPFOJ_03850,CBFJPJAN_04324,PFCICLLP_04417,IBOIIBEG_03475,MFFOPBKH_03141,POFILHDL_03962,DHNKKDKB_03852,PJIANKBB_04632
xthA,xthA,Exodeoxyribonuclease III,AGBKPNDM_04265,OPLBPFOJ_00244,CBFJPJAN_00969,PFCICLLP_00900,IBOIIBEG_02053,MFFOPBKH_00297,POFILHDL_00327,DHNKKDKB_00327,PJIANKBB_00265
group_2155,,hypothetical protein,AGBKPNDM_03436,OPLBPFOJ_01547,CBFJPJAN_01230,PFCICLLP_01722,IBOIIBEG_00017,MFFOPBKH_02122,POFILHDL_02359,DHNKKDKB_02338,PJIANKBB_01292
group_2154,,hypothetical protein,AGBKPNDM_03112,OPLBPFOJ_00471,CBFJPJAN_00742,PFCICLLP_01127,IBOIIBEG_02488,MFFOPBKH_00536,POFILHDL_00088,DHNKKDKB_00088,PJIANKBB_00536
cheR,cheR,Chemotaxis protein methyltransferase,AGBKPNDM_03370,OPLBPFOJ_01291,CBFJPJAN_01486,PFCICLLP_01466,IBOIIBEG_00205,MFFOPBKH_02320,POFILHDL_02161,DHNKKDKB_02536,PJIANKBB_01555
group_2150,,hypothetical protein,AGBKPNDM_04880,OPLBPFOJ_03876,CBFJPJAN_04298,PFCICLLP_04443,IBOIIBEG_03449,MFFOPBKH_03167,POFILHDL_03988,DHNKKDKB_03878,PJIANKBB_04607
efeO_1,efeO_1,Iron uptake system component EfeO,AGBKPNDM_03448,OPLBPFOJ_01535,CBFJPJAN_01242,PFCICLLP_01710,IBOIIBEG_00029,MFFOPBKH_02134,POFILHDL_02347,DHNKKDKB_02350,PJIANKBB_01304
group_2149,,hypothetical protein,AGBKPNDM_03395,OPLBPFOJ_01316,CBFJPJAN_01461,PFCICLLP_01491,IBOIIBEG_00180,MFFOPBKH_02295,POFILHDL_02186,DHNKKDKB_02511,PJIANKBB_01530
group_2148,,Arylesterase,AGBKPNDM_03142,OPLBPFOJ_00441,CBFJPJAN_00772,PFCICLLP_01097,IBOIIBEG_02458,MFFOPBKH_00506,POFILHDL_00118,DHNKKDKB_00118,PJIANKBB_00505
group_2147,,hypothetical protein,AGBKPNDM_05505,OPLBPFOJ_03925,CBFJPJAN_05613,PFCICLLP_04492,IBOIIBEG_03401,MFFOPBKH_03217,POFILHDL_04038,DHNKKDKB_05300,PJIANKBB_05615
group_2146,,putative oxidoreductase/MSMEI_2347,AGBKPNDM_04849,OPLBPFOJ_03845,CBFJPJAN_04329,PFCICLLP_04412,IBOIIBEG_03480,MFFOPBKH_03137,POFILHDL_03958,DHNKKDKB_03848,PJIANKBB_04637
group_2145,,hypothetical protein,AGBKPNDM_03300,OPLBPFOJ_01221,CBFJPJAN_01556,PFCICLLP_01396,IBOIIBEG_00337,MFFOPBKH_02390,POFILHDL_02091,DHNKKDKB_02606,PJIANKBB_01625
moaF,moaF,Protein MoaF,AGBKPNDM_02881,OPLBPFOJ_00095,CBFJPJAN_01119,PFCICLLP_00750,IBOIIBEG_01903,MFFOPBKH_00149,POFILHDL_00476,DHNKKDKB_00476,PJIANKBB_00115
ttcA,ttcA,tRNA-cytidine(32) 2-sulfurtransferase,AGBKPNDM_04145,OPLBPFOJ_00363,CBFJPJAN_00850,PFCICLLP_01019,IBOIIBEG_04751,MFFOPBKH_00415,POFILHDL_00209,DHNKKDKB_00209,PJIANKBB_00383
yigL,yigL,Pyridoxal phosphate phosphatase YigL,AGBKPNDM_03055,OPLBPFOJ_00528,CBFJPJAN_00685,PFCICLLP_01184,IBOIIBEG_02545,MFFOPBKH_00593,POFILHDL_00031,DHNKKDKB_00031,PJIANKBB_00593
udh_2,udh_2,Uronate dehydrogenase,AGBKPNDM_02963,OPLBPFOJ_00177,CBFJPJAN_01037,PFCICLLP_00832,IBOIIBEG_01986,MFFOPBKH_00230,POFILHDL_00395,DHNKKDKB_00395,PJIANKBB_00198
ssuC_3,ssuC_3,Putative aliphatic sulfonates transport permease protein SsuC,AGBKPNDM_04972,OPLBPFOJ_04799,CBFJPJAN_05469,PFCICLLP_04689,IBOIIBEG_06089,MFFOPBKH_02994,POFILHDL_04413,DHNKKDKB_03705,PJIANKBB_05527
purN_2,purN_2,Phosphoribosylglycinamide formyltransferase,AGBKPNDM_03077,OPLBPFOJ_00506,CBFJPJAN_00707,PFCICLLP_01162,IBOIIBEG_02523,MFFOPBKH_00571,POFILHDL_00053,DHNKKDKB_00053,PJIANKBB_00571
phnX_2,phnX_2,Phosphonoacetaldehyde hydrolase,AGBKPNDM_02999,OPLBPFOJ_00213,CBFJPJAN_01000,PFCICLLP_00869,IBOIIBEG_02021,MFFOPBKH_00266,POFILHDL_00358,DHNKKDKB_00358,PJIANKBB_00234
group_2141,,hypothetical protein,AGBKPNDM_04901,OPLBPFOJ_04585,CBFJPJAN_04739,PFCICLLP_04759,IBOIIBEG_05379,MFFOPBKH_03066,POFILHDL_04485,DHNKKDKB_03777,PJIANKBB_04826
group_2140,,hypothetical protein,AGBKPNDM_03067,OPLBPFOJ_00516,CBFJPJAN_00697,PFCICLLP_01172,IBOIIBEG_02533,MFFOPBKH_00581,POFILHDL_00043,DHNKKDKB_00043,PJIANKBB_00581
nudC_2,nudC_2,NADH pyrophosphatase,AGBKPNDM_04939,OPLBPFOJ_04622,CBFJPJAN_04702,PFCICLLP_04722,IBOIIBEG_05417,MFFOPBKH_03027,POFILHDL_04446,DHNKKDKB_03738,PJIANKBB_04864
cpdA_2,cpdA_2,3'5'-cyclic adenosine monophosphate phosphodiesterase CpdA,AGBKPNDM_04877,OPLBPFOJ_03873,CBFJPJAN_04301,PFCICLLP_04440,IBOIIBEG_03452,MFFOPBKH_03164,POFILHDL_03985,DHNKKDKB_03875,PJIANKBB_04610
nhoA,nhoA,Arylamine N-acetyltransferase / N-hydroxyarylamine O-acetyltransferase,AGBKPNDM_04191,OPLBPFOJ_00317,CBFJPJAN_00896,PFCICLLP_00973,IBOIIBEG_04705,MFFOPBKH_00369,POFILHDL_00255,DHNKKDKB_00255,PJIANKBB_00337
yghU,yghU,Disulfide-bond oxidoreductase YghU,AGBKPNDM_03151,OPLBPFOJ_00432,CBFJPJAN_00781,PFCICLLP_01088,IBOIIBEG_02449,MFFOPBKH_00497,POFILHDL_00127,DHNKKDKB_00127,PJIANKBB_00496
gsiD,gsiD,Glutathione transport system permease protein GsiD,AGBKPNDM_04951,OPLBPFOJ_04820,CBFJPJAN_05490,PFCICLLP_04710,IBOIIBEG_06068,MFFOPBKH_03015,POFILHDL_04434,DHNKKDKB_03726,PJIANKBB_05548
group_2139,,hypothetical protein,AGBKPNDM_02850,OPLBPFOJ_00064,CBFJPJAN_01150,PFCICLLP_00719,IBOIIBEG_01872,MFFOPBKH_00118,POFILHDL_00507,DHNKKDKB_00507,PJIANKBB_00084
gtaB,gtaB,UTP--glucose-1-phosphate uridylyltransferase,AGBKPNDM_03333,OPLBPFOJ_01254,CBFJPJAN_01523,PFCICLLP_01429,IBOIIBEG_00304,MFFOPBKH_02357,POFILHDL_02124,DHNKKDKB_02573,PJIANKBB_01592
hisP_1,hisP_1,Histidine transport ATP-binding protein HisP,AGBKPNDM_02939,OPLBPFOJ_00153,CBFJPJAN_01061,PFCICLLP_00808,IBOIIBEG_01962,MFFOPBKH_00202,POFILHDL_00423,DHNKKDKB_00423,PJIANKBB_00174
group_2137,,IS3 family transposase ISPsy24,AGBKPNDM_05746,OPLBPFOJ_04630,CBFJPJAN_04694,PFCICLLP_05734,IBOIIBEG_06303,5_refound_39_stop,6_refound_48_stop,7_refound_57_stop,8_refound_65
efeU_2,efeU_2,Ferrous iron permease EfeU,AGBKPNDM_03451,OPLBPFOJ_01532,CBFJPJAN_01245,PFCICLLP_01707,IBOIIBEG_00032,MFFOPBKH_02137,POFILHDL_02344,DHNKKDKB_02353,PJIANKBB_01307
potB,potB,Spermidine/putrescine transport system permease protein PotB,AGBKPNDM_03101,OPLBPFOJ_00482,CBFJPJAN_00731,PFCICLLP_01138,IBOIIBEG_02499,MFFOPBKH_00547,POFILHDL_00077,DHNKKDKB_00077,PJIANKBB_00547
group_2136,,hypothetical protein,AGBKPNDM_04829,OPLBPFOJ_03825,CBFJPJAN_04349,PFCICLLP_04392,IBOIIBEG_03500,MFFOPBKH_03113,POFILHDL_03934,DHNKKDKB_03824,PJIANKBB_04644
nimR_7,nimR_7,HTH-type transcriptional regulator NimR,AGBKPNDM_05470,OPLBPFOJ_03891,CBFJPJAN_04283,PFCICLLP_04458,IBOIIBEG_03435,MFFOPBKH_03182,POFILHDL_04003,DHNKKDKB_05335,PJIANKBB_04593
group_2135,,hypothetical protein,AGBKPNDM_04926,OPLBPFOJ_04609,CBFJPJAN_04715,PFCICLLP_04735,IBOIIBEG_05404,MFFOPBKH_03040,POFILHDL_04459,DHNKKDKB_03751,PJIANKBB_04851
occT,occT,Octopine-binding periplasmic protein,AGBKPNDM_03517,OPLBPFOJ_01469,CBFJPJAN_01308,PFCICLLP_01644,IBOIIBEG_00090,MFFOPBKH_02200,POFILHDL_02281,DHNKKDKB_02416,PJIANKBB_01371
folD,folD,Bifunctional protein FolD protein,AGBKPNDM_02982,OPLBPFOJ_00197,CBFJPJAN_01017,PFCICLLP_00852,IBOIIBEG_02005,MFFOPBKH_00250,POFILHDL_00375,DHNKKDKB_00375,PJIANKBB_00217
cysL_2,cysL_2,HTH-type transcriptional regulator CysL,AGBKPNDM_03001,OPLBPFOJ_00215,CBFJPJAN_00998,PFCICLLP_00871,IBOIIBEG_02023,MFFOPBKH_00268,POFILHDL_00356,DHNKKDKB_00356,PJIANKBB_00236
yebZ,yebZ,Inner membrane protein YebZ,AGBKPNDM_02965,OPLBPFOJ_00179,CBFJPJAN_01035,PFCICLLP_00834,IBOIIBEG_01988,MFFOPBKH_00232,POFILHDL_00393,DHNKKDKB_00393,PJIANKBB_00200
hpcB,hpcB,34-dihydroxyphenylacetate 23-dioxygenase,AGBKPNDM_02889,OPLBPFOJ_00103,CBFJPJAN_01111,PFCICLLP_00758,IBOIIBEG_01911,MFFOPBKH_00157,POFILHDL_00468,DHNKKDKB_00468,PJIANKBB_00123
livH_2,livH_2,High-affinity branched-chain amino acid transport system permease protein LivH,AGBKPNDM_02926,OPLBPFOJ_00140,CBFJPJAN_01074,PFCICLLP_00795,IBOIIBEG_01949,MFFOPBKH_00189,POFILHDL_00436,DHNKKDKB_00436,PJIANKBB_00161
group_2133,,hypothetical protein,AGBKPNDM_02893,OPLBPFOJ_00107,CBFJPJAN_01107,PFCICLLP_00762,IBOIIBEG_01915,MFFOPBKH_00161,POFILHDL_00464,DHNKKDKB_00464,PJIANKBB_00127
uspE_4,uspE_4,Universal stress protein E,AGBKPNDM_05537,OPLBPFOJ_04443,CBFJPJAN_05564,PFCICLLP_05578,IBOIIBEG_00543,MFFOPBKH_05454,POFILHDL_05459,DHNKKDKB_05295,PJIANKBB_05568
group_2132,,6-deoxy-6-sulfogluconolactonase,AGBKPNDM_03159,OPLBPFOJ_00424,CBFJPJAN_00789,PFCICLLP_01080,IBOIIBEG_02441,MFFOPBKH_00489,POFILHDL_00135,DHNKKDKB_00135,PJIANKBB_00488
group_2131,,hypothetical protein,AGBKPNDM_02968,OPLBPFOJ_00182,CBFJPJAN_01032,PFCICLLP_00837,IBOIIBEG_01991,MFFOPBKH_00235,POFILHDL_00390,DHNKKDKB_00390,PJIANKBB_00203
group_2130,,putative metallo-hydrolase,AGBKPNDM_02955,OPLBPFOJ_00169,CBFJPJAN_01045,PFCICLLP_00824,IBOIIBEG_01978,MFFOPBKH_00218,POFILHDL_00407,DHNKKDKB_00407,PJIANKBB_00190
hdfR_6,hdfR_6,HTH-type transcriptional regulator HdfR,AGBKPNDM_02919,OPLBPFOJ_00133,CBFJPJAN_01081,PFCICLLP_00788,IBOIIBEG_01941,MFFOPBKH_00181,POFILHDL_00444,DHNKKDKB_00444,PJIANKBB_00153
hdfR_7,hdfR_7,HTH-type transcriptional regulator HdfR,AGBKPNDM_03134,OPLBPFOJ_00449,CBFJPJAN_00764,PFCICLLP_01105,IBOIIBEG_02466,MFFOPBKH_00514,POFILHDL_00110,DHNKKDKB_00110,PJIANKBB_00513
group_2128,,Oxaloacetate decarboxylase,AGBKPNDM_03552,OPLBPFOJ_01434,CBFJPJAN_01343,PFCICLLP_01609,IBOIIBEG_00115,MFFOPBKH_02234,POFILHDL_02247,DHNKKDKB_02450,PJIANKBB_01406
glpG,glpG,Rhomboid protease GlpG,AGBKPNDM_03069,OPLBPFOJ_00514,CBFJPJAN_00699,PFCICLLP_01170,IBOIIBEG_02531,MFFOPBKH_00579,POFILHDL_00045,DHNKKDKB_00045,PJIANKBB_00579
uppP_1,uppP_1,Undecaprenyl-diphosphatase,AGBKPNDM_03150,OPLBPFOJ_00433,CBFJPJAN_00780,PFCICLLP_01089,IBOIIBEG_02450,MFFOPBKH_00498,POFILHDL_00126,DHNKKDKB_00126,PJIANKBB_00497
egtB,egtB,Hercynine oxygenase,AGBKPNDM_03076,OPLBPFOJ_00507,CBFJPJAN_00706,PFCICLLP_01163,IBOIIBEG_02524,MFFOPBKH_00572,POFILHDL_00052,DHNKKDKB_00052,PJIANKBB_00572
yfeX,yfeX,Dye-decolorizing peroxidase YfeX,AGBKPNDM_04223,OPLBPFOJ_00286,CBFJPJAN_00927,PFCICLLP_00942,IBOIIBEG_02095,MFFOPBKH_00338,POFILHDL_00286,DHNKKDKB_00286,PJIANKBB_00306
ku,ku,Non-homologous end joining protein Ku,AGBKPNDM_03441,OPLBPFOJ_01542,CBFJPJAN_01235,PFCICLLP_01717,IBOIIBEG_00022,MFFOPBKH_02127,POFILHDL_02354,DHNKKDKB_02343,PJIANKBB_01297
group_2126,,hypothetical protein,AGBKPNDM_03360,OPLBPFOJ_01281,CBFJPJAN_01496,PFCICLLP_01456,IBOIIBEG_00215,MFFOPBKH_02330,POFILHDL_02151,DHNKKDKB_02546,PJIANKBB_01565
group_2125,,hypothetical protein,AGBKPNDM_03171,OPLBPFOJ_00412,CBFJPJAN_00801,PFCICLLP_01068,IBOIIBEG_02429,MFFOPBKH_00477,POFILHDL_00147,DHNKKDKB_00147,PJIANKBB_00476
ampR,ampR,HTH-type transcriptional activator AmpR,AGBKPNDM_05526,OPLBPFOJ_04454,CBFJPJAN_05553,PFCICLLP_05567,IBOIIBEG_00532,MFFOPBKH_05465,POFILHDL_05448,DHNKKDKB_05284,PJIANKBB_05557
cmpR_4,cmpR_4,HTH-type transcriptional activator CmpR,AGBKPNDM_03348,OPLBPFOJ_01269,CBFJPJAN_01508,PFCICLLP_01444,IBOIIBEG_00229,MFFOPBKH_02342,POFILHDL_02139,DHNKKDKB_02558,PJIANKBB_01577
dhmA2_1,dhmA2_1,Haloalkane dehalogenase 2,AGBKPNDM_03322,OPLBPFOJ_01243,CBFJPJAN_01534,PFCICLLP_01418,IBOIIBEG_00315,MFFOPBKH_02368,POFILHDL_02113,DHNKKDKB_02584,PJIANKBB_01603
group_2124,,hypothetical protein,AGBKPNDM_03178,OPLBPFOJ_00405,CBFJPJAN_00808,PFCICLLP_01061,IBOIIBEG_02422,MFFOPBKH_00470,POFILHDL_00154,DHNKKDKB_00154,PJIANKBB_00469
group_2123,,hypothetical protein,AGBKPNDM_04955,OPLBPFOJ_04816,CBFJPJAN_05486,PFCICLLP_04706,IBOIIBEG_06072,MFFOPBKH_03011,POFILHDL_04430,DHNKKDKB_03722,PJIANKBB_05544
livH_4,livH_4,High-affinity branched-chain amino acid transport system permease protein LivH,AGBKPNDM_04236,OPLBPFOJ_00273,CBFJPJAN_00940,PFCICLLP_00929,IBOIIBEG_02082,MFFOPBKH_00325,POFILHDL_00299,DHNKKDKB_00299,PJIANKBB_00293
rarD_2,rarD_2,Protein RarD,AGBKPNDM_03351,OPLBPFOJ_01272,CBFJPJAN_01505,PFCICLLP_01447,IBOIIBEG_00226,MFFOPBKH_02339,POFILHDL_02142,DHNKKDKB_02555,PJIANKBB_01574
pcpR_4,pcpR_4,PCP degradation transcriptional activation protein,AGBKPNDM_04928,OPLBPFOJ_04611,CBFJPJAN_04713,PFCICLLP_04733,IBOIIBEG_05406,MFFOPBKH_03038,POFILHDL_04457,DHNKKDKB_03749,PJIANKBB_04853
arnD,arnD,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,AGBKPNDM_03392,OPLBPFOJ_01313,CBFJPJAN_01464,PFCICLLP_01488,IBOIIBEG_00183,MFFOPBKH_02298,POFILHDL_02183,DHNKKDKB_02514,PJIANKBB_01533
group_2122,,hypothetical protein,AGBKPNDM_03180,OPLBPFOJ_00403,CBFJPJAN_00810,PFCICLLP_01059,IBOIIBEG_02420,MFFOPBKH_00468,POFILHDL_00156,DHNKKDKB_00156,PJIANKBB_00467
dmlR_12,dmlR_12,HTH-type transcriptional regulator DmlR,AGBKPNDM_02870,OPLBPFOJ_00084,CBFJPJAN_01130,PFCICLLP_00739,IBOIIBEG_01892,MFFOPBKH_00138,POFILHDL_00487,DHNKKDKB_00487,PJIANKBB_00104
group_2120,,hypothetical protein,AGBKPNDM_05518,OPLBPFOJ_05470,CBFJPJAN_01747,PFCICLLP_05774,IBOIIBEG_00524,MFFOPBKH_04330,POFILHDL_04663,DHNKKDKB_05272,PJIANKBB_04742
group_2119,,hypothetical protein,AGBKPNDM_05515,OPLBPFOJ_05467,CBFJPJAN_01744,PFCICLLP_05777,IBOIIBEG_00521,MFFOPBKH_04333,POFILHDL_04660,DHNKKDKB_05269,PJIANKBB_04745
iolE,iolE,Inosose dehydratase,AGBKPNDM_05507,OPLBPFOJ_03927,CBFJPJAN_05615,PFCICLLP_04494,IBOIIBEG_03399,MFFOPBKH_03219,POFILHDL_04040,DHNKKDKB_05298,PJIANKBB_05617
sadH,sadH,Putative oxidoreductase SadH,AGBKPNDM_04828,OPLBPFOJ_03824,CBFJPJAN_04350,PFCICLLP_04391,IBOIIBEG_03501,MFFOPBKH_03112,POFILHDL_03933,DHNKKDKB_03823,PJIANKBB_04645
group_2118,,hypothetical protein,AGBKPNDM_03404,OPLBPFOJ_01325,CBFJPJAN_01452,PFCICLLP_01500,IBOIIBEG_00171,MFFOPBKH_02286,POFILHDL_02195,DHNKKDKB_02502,PJIANKBB_01521
nadK,nadK,NAD kinase,AGBKPNDM_03071,OPLBPFOJ_00512,CBFJPJAN_00701,PFCICLLP_01168,IBOIIBEG_02529,MFFOPBKH_00577,POFILHDL_00047,DHNKKDKB_00047,PJIANKBB_00577
dcyD_1,dcyD_1,D-cysteine desulfhydrase,AGBKPNDM_02997,OPLBPFOJ_00211,CBFJPJAN_01002,PFCICLLP_00867,IBOIIBEG_02019,MFFOPBKH_00264,POFILHDL_00360,DHNKKDKB_00360,PJIANKBB_00232
group_2117,,hypothetical protein,AGBKPNDM_03377,OPLBPFOJ_01298,CBFJPJAN_01479,PFCICLLP_01473,IBOIIBEG_00198,MFFOPBKH_02313,POFILHDL_02168,DHNKKDKB_02529,PJIANKBB_01548
ypeA_1,ypeA_1,Acetyltransferase YpeA,AGBKPNDM_02945,OPLBPFOJ_00159,CBFJPJAN_01055,PFCICLLP_00814,IBOIIBEG_01968,MFFOPBKH_00208,POFILHDL_00417,DHNKKDKB_00417,PJIANKBB_00180
