unique_id	genome_name	kegg_module	module_name	module_class	module_category	module_subcategory	module_definition	module_completeness	module_is_complete	kofam_hits_in_module	gene_caller_ids_in_module	warnings	genome
208	PF_Cali	M00649	Multidrug resistance, efflux pump AdeABC	Signature modules	Gene set	Drug resistance	K18143 K18144 K18145+K18146-K18147	0.666666666666667	False	K18143,K18144	4625,4624	None	628C
209	PF_Cali	M00696	Multidrug resistance, efflux pump AcrEF-TolC	Signature modules	Gene set	Drug resistance	K18140 K18141+K18142+K12340	0.166666666666667	False	K12340,K12340,K12340,K12340	2260,3998,4021,4897	None	628C
210	PF_Cali	M00697	Multidrug resistance, efflux pump MdtEF-TolC	Signature modules	Gene set	Drug resistance	K07690 K18898+K18899+K12340	0.666666666666667	False	K07690,K07690,K07690,K07690,K12340,K12340,K12340,K12340	4647,4435,2945,1516,2260,3998,4021,4897	None	628C
211	PF_Cali	M00698	Multidrug resistance, efflux pump BpeEF-OprC	Signature modules	Gene set	Drug resistance	K18900 K18901+K18902+K18903	0.666666666666667	False	K18900,K18900,K18900,K18900,K18900,K18903,K18903	1121,5005,1660,3755,3285,5672,3389	None	628C
212	PF_Cali	M00660	Xanthomonas spp. pathogenicity signature, T3SS and effectors	Signature modules	Gene set	Plant pathogenicity	K03222+K03226+K03227+K03228+K03229+K03230+K03224+K03225+K03223+K18374+K18376 K18373 K18375 K18377 K18378 K18379 K18380 K18381	0.102272727272727	False	K03222,K03222,K03223,K03223,K03224,K03225,K03225,K03226,K03226,K03227,K03227,K03228,K03228,K03229,K03229,K03230,K03230	5360,4875,4873,5362,5375,5372,4870,5371,4869,5370,4868,5369,4867,5368,4866,5377,4883	None	628C
213	PF_Cali	M00664	Nodulation	Signature modules	Gene set	Symbiosis	K14658 K14659 K14666 K14657	0.25	False	K14657	5811	None	628C
214	PF_Cali	M00611	Oxygenic photosynthesis in plants and cyanobacteria	Signature modules	Module set	Metabolic capacity	(M00161,M00163) M00165	0.363636363636364	False	K00134,K00134,K00134,K00615,K00615,K00927,K01624,K01807,K01808,K03841	383,1358,1830,382,5079,384,387,267,5097,2124	None	628C
215	PF_Cali	M00612	Anoxygenic photosynthesis in purple bacteria	Signature modules	Module set	Metabolic capacity	M00597 M00165	0.363636363636364	False	K00134,K00134,K00134,K00615,K00615,K00927,K01624,K01807,K01808,K03841	383,1358,1830,382,5079,384,387,267,5097,2124	None	628C
216	PF_Cali	M00613	Anoxygenic photosynthesis in green nonsulfur bacteria	Signature modules	Module set	Metabolic capacity	M00597 M00376	0.153846153846154	False	K00239,K00240,K00241,K00242,K01676,K01679,K01679,K01961,K01962,K01963,K02160,K05606	1581,1582,1579,1580,1817,4261,1019,2380,5192,4385,2381,1092	None	628C
217	PF_Cali	M00614	Anoxygenic photosynthesis in green sulfur bacteria	Signature modules	Module set	Metabolic capacity	M00598 M00173	0.318181818181818	False	K00031,K00031,K00239,K00240,K00241,K00242,K01007,K01595,K01595,K01676,K01679,K01679,K01681,K01682,K01682,K01902,K01903,K01959,K01960	4834,4835,1581,1582,1579,1580,694,2878,5048,1817,4261,1019,1333,4515,4767,1587,1586,9,10	None	628C
218	PF_Cali	M00617	Methanogen	Signature modules	Module set	Metabolic capacity	M00567,M00357,M00356,M00563	0.2	False	K01895,K01895,K13788	4334,2794,5321	None	628C
219	PF_Cali	M00618	Acetogen	Signature modules	Module set	Metabolic capacity	M00377 M00579	0.392857142857143	False	K00297,K01491,K13788	368,3396,5321	None	628C
220	PF_Cali	M00615	Nitrate assimilation	Signature modules	Module set	Metabolic capacity	(K02575,K15576+K15577+K15578-K15579) M00531	0.75	True	K00372,K02575,K15576	703,707,709	None	628C
221	PF_Cali	M00616	Sulfate-sulfur assimilation	Signature modules	Module set	Metabolic capacity	(K02048,K23163)+K02046+K02047+K02045 M00176	1	True	K00380,K00381,K00390,K00955,K00955,K00956,K00956,K00957,K00957,K02045,K02046,K02047,K02048	4196,4943,670,5323,781,5323,781,5325,782,4143,4141,4142,1553	None	628C
0	PF_Cali	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K00844,K12407,K00845,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)	0.9	True	K00134,K00134,K00134,K00845,K00873,K00873,K00927,K01623,K01624,K01689,K01803,K01803,K01810,K15633	1119,3065,3142,3063,3220,3049,1120,1583,1123,4758,2561,1585,2575,2919	None	629A2A
1	PF_Cali	M00002	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)	1	True	K00134,K00134,K00134,K00873,K00873,K00927,K01689,K01803,K01803,K15633	1119,3065,3142,3220,3049,1120,4758,2561,1585,2919	None	629A2A
2	PF_Cali	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)	1	True	K00134,K00134,K00134,K00927,K01610,K01623,K01624,K01689,K01803,K01803,K03841,K15633	1119,3065,3142,1120,5186,1583,1123,4758,2561,1585,2697,2919	None	629A2A
3	PF_Cali	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737	1	True	K00163,K00163,K00382,K00382,K00627	5889,2804,161,3192,2803	None	629A2A
4	PF_Cali	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K01647,K05942) (K01681,K01682) (K00031,K00030) (K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)	1	True	K00031,K00031,K00116,K00116,K00164,K00239,K00240,K00241,K00242,K00382,K00382,K00658,K01647,K01676,K01679,K01679,K01681,K01682,K01902,K01903,K18118	339,338,5903,3793,3194,3196,3195,3198,3197,161,3192,3193,3199,3052,5300,3763,3167,4991,3190,3191,3877	None	629A2A
5	PF_Cali	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K01647,K05942) (K01681,K01682) (K00031,K00030)	1	True	K00031,K00031,K01647,K01681,K01682	339,338,3199,3167,4991	None	629A2A
6	PF_Cali	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)	1	True	K00116,K00116,K00164,K00239,K00240,K00241,K00242,K00382,K00382,K00658,K01676,K01679,K01679,K01902,K01903,K18118	5903,3793,3194,3196,3195,3198,3197,161,3192,3193,3052,5300,3763,3190,3191,3877	None	629A2A
7	PF_Cali	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 K00616 (K01810,K06859,K13810,K15916)	1	True	K00033,K00036,K00036,K00615,K00615,K00616,K00616,K01057,K01783,K01807,K01808,K01810,K07404	523,524,2939,2261,1118,2631,3123,2938,4407,1001,2243,2575,550	None	629A2A
8	PF_Cali	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K13937,((K00036,K19243) (K01057,K07404))) K00033	1	True	K00033,K00036,K00036,K01057,K07404	523,524,2939,2938,550	None	629A2A
9	PF_Cali	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K00615 (K00616,K13810) K01783 (K01807,K01808)	1	True	K00615,K00615,K00616,K00616,K01783,K01807,K01808	2261,1118,2631,3123,4407,1001,2243	None	629A2A
10	PF_Cali	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K08094 (K08093,K13812),K13831) K01807	0.5	False	K01807	1001	None	629A2A
11	PF_Cali	M00005	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K00948	1	True	K00948	5064	None	629A2A
12	PF_Cali	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K00036 (K01057,K07404) K01690 K01625	1	True	K00036,K00036,K01057,K01625,K01690,K07404	524,2939,2938,2937,3064,550	None	629A2A
13	PF_Cali	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K05308 K00874 K01625 (K00134 K00927,K00131,K18978)	0.8	True	K00131,K00134,K00134,K00134,K00874,K00874,K00927,K01625	283,1119,3065,3142,5265,2231,1120,2937	None	629A2A
14	PF_Cali	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K05308 K18126 K11395 (K00131,K18978)	0.25	False	K00131	283	None	629A2A
15	PF_Cali	M00014	Glucuronate pathway (uronate pathway)	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854	0.333333333333333	False	K00012,K00012,K00854,K00854,K00854,K03331	3936,1528,5845,131,1665,132	-- steps are assumed incomplete	629A2A
16	PF_Cali	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)	0.4	False	K00874,K00874,K01625	5265,2231,2937	None	629A2A
17	PF_Cali	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01812 K00040 (K01686,K08323) K00874 (K01625,K17463)	0.4	False	K00874,K00874,K01625	5265,2231,2937	None	629A2A
18	PF_Cali	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01785 K00849 K00965 K01784	0.5	False	K01784,K01785,K01785	2826,425,175	None	629A2A
19	PF_Cali	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01684 K00883 K01631 K00134 K00927	1	True	K00134,K00134,K00134,K00883,K00927,K01631,K01684,K01684	1119,3065,3142,3389,1120,3390,3391,1797	None	629A2A
20	PF_Cali	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00963 K00012 K00699 K01195 K00002 K01053 K00103	0.285714285714286	False	K00012,K00012,K00963	3936,1528,1472	None	629A2A
21	PF_Cali	M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149)	0.666666666666667	False	K00700,K00703,K00963	5869,1296,1472	None	629A2A
22	PF_Cali	M00855	Glycogen degradation, glycogen => glucose-6P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00688,K16153) (K01196,((K00705,K22451) (K02438,K01200))) (K15779,K01835,K15778)	0.75	True	K00688,K00705,K01835,K15778	2694,1294,1730,833	None	629A2A
23	PF_Cali	M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00975 K00703 (K00700,K16149) K01214 K06044 K01236	0.833333333333333	True	K00700,K00703,K01214,K01236,K06044	5869,1296,1291,1295,1293	None	629A2A
24	PF_Cali	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00844,K00845,K12407,K00886) (K01835,K15779,K15778) (K00963,K12447)	1	True	K00845,K00963,K01835,K15778	3063,1472,1730,833	None	629A2A
25	PF_Cali	M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00844,K12407,K00845) K01810 K00820 K00621 K01836 K00972	0.5	False	K00820,K00820,K00845,K01810	3443,695,3063,2575	None	629A2A
26	PF_Cali	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00845 (K01810,K13810,K15916) K00820 K03431 K04042	1	True	K00820,K00820,K00845,K01810,K03431,K04042	3443,695,3063,2575,2560,693	None	629A2A
27	PF_Cali	M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K10011 K07806 K10012 K13014	1	True	K07806,K10011,K10012,K13014	949,1533,1534,1532	None	629A2A
28	PF_Cali	M00012	Glyoxylate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)	0.8	True	K01637,K01638,K01638,K01647,K01681,K01682	330,4300,1836,3199,3167,4991	None	629A2A
29	PF_Cali	M00373	Ethylmalonyl pathway	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00626 K00023 K17865 K14446 K14447 K14448 K14449 K08691 K14451 K01965+K01966 K05606 K01847	0.25	False	K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K05606,K17865	4114,5303,4679,4852,5540,2208,1520,3154,443,584,2933	None	629A2A
30	PF_Cali	M00740	Methylaspartate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01647 K01681 K00031 K00261 K19268+K01846 K04835 K19280 K14449 K19281 K19282 K00024	0.272727272727273	False	K00031,K00031,K01647,K01681	339,338,3199,3167	None	629A2A
31	PF_Cali	M00532	Photorespiration	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K01601-K01602) K19269 K11517 K03781 K14272 K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437	0.3	False	K00281,K00382,K00382,K00600,K00600,K00605,K00605,K02437,K02437,K03781,K03781,K03781,K03781	2990,161,3192,1177,2518,947,2992,948,2989,3839,2350,2510,226	None	629A2A
32	PF_Cali	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00248,K00232) (K07511,K14729) K05605 K23146 K00140	0.4	False	K00140,K00140,K00140,K00248,K00248	4092,3604,405,1521,1523	None	629A2A
33	PF_Cali	M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K01965+K01966,K11263+(K18472,K19312+K22568),K01964+K15036+K15037) K05606 (K01847,K01848+K01849)	0.333333333333333	False	K05606	584	None	629A2A
34	PF_Cali	M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01106 K01107 K01109 K01092	0.25	False	K01092	3495	None	629A2A
35	PF_Cali	M00165	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules	Energy metabolism	Carbon fixation	K00855 (K01601-K01602) K00927 (K05298,K00150,K00134) (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)	0.727272727272727	False	K00134,K00134,K00134,K00615,K00615,K00927,K01623,K01624,K01807,K01808,K03841	1119,3065,3142,2261,1118,1120,1583,1123,1001,2243,2697	None	629A2A
36	PF_Cali	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	Pathway modules	Energy metabolism	Carbon fixation	K00855 (K01601-K01602) K00927 (K05298,K00150,K00134)	0.5	False	K00134,K00134,K00134,K00927	1119,3065,3142,1120	None	629A2A
37	PF_Cali	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules	Energy metabolism	Carbon fixation	(K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)	0.857142857142857	True	K00615,K00615,K01623,K01624,K01807,K01808,K03841	2261,1118,1583,1123,1001,2243,2697	None	629A2A
38	PF_Cali	M00168	CAM (Crassulacean acid metabolism), dark	Pathway modules	Energy metabolism	Carbon fixation	K01595 (K00025,K00026,K00024)	0.5	False	K01595	4636	None	629A2A
39	PF_Cali	M00169	CAM (Crassulacean acid metabolism), light	Pathway modules	Energy metabolism	Carbon fixation	K00029 K01006	0.5	False	K00029	2749	None	629A2A
40	PF_Cali	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	Pathway modules	Energy metabolism	Carbon fixation	K01595 K00051 K00029 K01006	0.5	False	K00029,K01595	2749,4636	None	629A2A
41	PF_Cali	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	Pathway modules	Energy metabolism	Carbon fixation	K01595 K14454 K14455 (K00025,K00026) K00028 (K00814,K14272) K01006	0.142857142857143	False	K01595	4636	None	629A2A
42	PF_Cali	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Pathway modules	Energy metabolism	Carbon fixation	K01595 K14454 K14455 K01610	0.5	False	K01595,K01610	4636,5186	None	629A2A
43	PF_Cali	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules	Energy metabolism	Carbon fixation	(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242,K00244+K00245-K00246-K00247,K18556+K18557+K18558+K18559+K18560) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K01681,K01682) (K15230+K15231,K15232+K15233 K15234)	0.636363636363636	False	K00031,K00031,K00239,K00240,K00241,K00242,K01007,K01595,K01676,K01679,K01679,K01681,K01682,K01902,K01903,K01959,K01960	339,338,3196,3195,3198,3197,2136,4636,3052,5300,3763,3167,4991,3190,3191,743,744	None	629A2A
44	PF_Cali	M00376	3-Hydroxypropionate bi-cycle	Pathway modules	Energy metabolism	Carbon fixation	(K02160+K01961+K01962+K01963) K14468 K14469 K15052 K05606 (K01847,K01848+K01849) (K14471+K14472) (K00239+K00240+K00241) K01679 K08691 K14449 K14470 K09709	0.307692307692308	False	K00239,K00240,K00241,K01679,K01679,K01961,K01962,K01963,K02160,K05606	3196,3195,3198,5300,3763,4152,4762,5515,4151,584	None	629A2A
45	PF_Cali	M00375	Hydroxypropionate-hydroxybutylate cycle	Pathway modules	Energy metabolism	Carbon fixation	(K01964+K15037+K15036) K15017 K15039 K15018 K15019 K15020 K05606 (K01848+K01849) (K15038,K15017) K14465 (K14466,K18861) K14534 K15016 K00626	0.142857142857143	False	K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K05606	4114,5303,4679,4852,5540,2208,1520,3154,443,584	None	629A2A
46	PF_Cali	M00374	Dicarboxylate-hydroxybutyrate cycle	Pathway modules	Energy metabolism	Carbon fixation	(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240-K00241-K18860) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861) K14534 K15016 K00626	0.384615384615385	False	K00239,K00240,K00241,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K01007,K01595,K01902,K01903	3196,3195,3198,4114,5303,4679,4852,5540,2208,1520,3154,443,2136,4636,3190,3191	None	629A2A
47	PF_Cali	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pathway modules	Energy metabolism	Carbon fixation	K00198 K05299-K15022 K01938 K01491 K00297 K15023 K14138+K00197+K00194	0.285714285714286	False	K00297,K01491	1104,197	None	629A2A
48	PF_Cali	M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules	Energy metabolism	Carbon fixation	(K00625,K13788,K15024) K00925	1	True	K00925,K13788	1601,5096	None	629A2A
49	PF_Cali	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Pathway modules	Energy metabolism	Carbon fixation	(K00169+K00170+K00171+K00172) (K01959+K01960) K00024 (K01677+K01678) (K18209+K18210) (K01902+K01903) (K00174+K00175+K00176+K00177)	0.285714285714286	False	K01902,K01903,K01959,K01960	3190,3191,743,744	None	629A2A
50	PF_Cali	M00357	Methanogenesis, acetate => methane	Pathway modules	Energy metabolism	Methane metabolism	((K00925 K00625),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))	0.2	False	K00925,K01895,K01895	1601,1220,2574	None	629A2A
51	PF_Cali	M00346	Formaldehyde assimilation, serine pathway	Pathway modules	Energy metabolism	Methane metabolism	K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691	0.555555555555556	False	K00018,K00600,K00600,K01595,K01689,K11529	3806,1177,2518,4636,4758,3219	None	629A2A
52	PF_Cali	M00345	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	(((K08093,K13812) K08094),K13831) (K00850,K16370) K01624	0.333333333333333	False	K01624	1123	None	629A2A
53	PF_Cali	M00344	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	K17100 K00863 K01624 K03841	0.5	False	K01624,K03841	1123,2697	None	629A2A
54	PF_Cali	M00935	Methanofuran biosynthesis	Pathway modules	Energy metabolism	Methane metabolism	K09733 K19793 K07144 K18933 K06914 K07072	0.166666666666667	False	K19793	2585	None	629A2A
55	PF_Cali	M00531	Assimilatory nitrate reduction, nitrate => ammonia	Pathway modules	Energy metabolism	Nitrogen metabolism	(K00367,K10534,K00372-K00360) (K00366,K17877)	0.5	False	K00372	2127	None	629A2A
56	PF_Cali	M00530	Dissimilatory nitrate reduction, nitrate => ammonia	Pathway modules	Energy metabolism	Nitrogen metabolism	(K00370+K00371+K00374,K02567+K02568) (K00362+K00363,K03385+K15876)	0.5	False	K00362,K00363	2125,2126	None	629A2A
57	PF_Cali	M00176	Assimilatory sulfate reduction, sulfate => H2S	Pathway modules	Energy metabolism	Sulfur metabolism	(K13811,K00958+K00860,K00955+K00957,K00956+K00957+K00860) K00390 (K00380+K00381,K00392)	1	True	K00380,K00381,K00390,K00955,K00955,K00956,K00956,K00957,K00957	3698,5733,2160,5094,2050,5094,2050,5092,2049	None	629A2A
58	PF_Cali	M00144	NADH:quinone oxidoreductase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K00330+(K00331+K00332+K00333,K00331+K13378,K13380)+K00334+K00335+K00336+K00337+K00338+K00339+K00340+(K00341+K00342)+K00343	1	True	K00330,K00331,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K13378	329,328,326,325,324,323,322,321,320,319,318,317,327	None	629A2A
59	PF_Cali	M00149	Succinate dehydrogenase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K00241+(K00242,K18859,K18860)+K00239+K00240	1	True	K00239,K00240,K00241,K00242	3196,3195,3198,3197	None	629A2A
60	PF_Cali	M00151	Cytochrome bc1 complex respiratory unit	Pathway modules	Energy metabolism	ATP synthesis	((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889	1	True	K00411,K00412,K00413	3734,3735,3736	None	629A2A
61	PF_Cali	M00152	Cytochrome bc1 complex	Pathway modules	Energy metabolism	ATP synthesis	K00411+K00412+K00413+K00414+K00415+K00416+K00417+K00418+K00419+K00420	0.3	False	K00411,K00412,K00413	3734,3735,3736	None	629A2A
62	PF_Cali	M00154	Cytochrome c oxidase	Pathway modules	Energy metabolism	ATP synthesis	(K02257+K02262+K02256+K02261+K02263+K02264+K02265+K02266+K02267+K02268+K02270-K02271+K02272-K02273+K02258+K02259+K02260)	0.2	False	K02257,K02257,K02258,K02259	3532,3425,3419,3424	None	629A2A
63	PF_Cali	M00155	Cytochrome c oxidase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K02275+(K02274+K02276,K15408)-K02277	1	True	K02274,K02275,K02276	3418,3417,3420	None	629A2A
64	PF_Cali	M00153	Cytochrome bd ubiquinol oxidase	Pathway modules	Energy metabolism	ATP synthesis	K00425+K00426+(K00424,K22501)	0.666666666666667	False	K00425,K00426	2503,2504	None	629A2A
65	PF_Cali	M00417	Cytochrome o ubiquinol oxidase	Pathway modules	Energy metabolism	ATP synthesis	K02297+K02298+K02299+K02300	1	True	K02297,K02298,K02299,K02300	3536,3535,3534,3533	None	629A2A
66	PF_Cali	M00156	Cytochrome c oxidase, cbb3-type	Pathway modules	Energy metabolism	ATP synthesis	((K00404+K00405,K15862)+K00407+K00406)	1	True	K00404,K00404,K00405,K00405,K00406,K00406,K00407,K00407	2074,2070,2071,2075,2077,2073,2076,2072	None	629A2A
67	PF_Cali	M00157	F-type ATPase, prokaryotes and chloroplasts	Pathway modules	Energy metabolism	ATP synthesis	K02111+K02112+K02113+K02114+K02115+K02108+K02109+K02110	1	True	K02108,K02109,K02110,K02111,K02112,K02113,K02114,K02115	685,687,686,689,691,688,692,690	None	629A2A
68	PF_Cali	M00082	Fatty acid biosynthesis, initiation	Pathway modules	Lipid metabolism	Fatty acid metabolism	(K11262,(K02160+K01961,K11263)+(K01962+K01963,K18472)) (K00665,K00667+K00668,K11533,(K00645 (K00648,K18473)))	1	True	K00645,K00648,K01961,K01962,K01963,K02160	4071,1950,4152,4762,5515,4151	None	629A2A
69	PF_Cali	M00083	Fatty acid biosynthesis, elongation	Pathway modules	Lipid metabolism	Fatty acid metabolism	K00665,(K00667 K00668),K11533,((K00647,K09458) K00059 (K02372,K01716,K16363) (K00208,K02371,K10780,K00209))	1	True	K00059,K00059,K00059,K00059,K00059,K00059,K00059,K00059,K00059,K00209,K00647,K00647,K01716,K02372,K02372,K09458	4070,5770,1846,80,2164,2765,4115,4854,5860,5915,5631,2767,5632,4767,2777,4068	None	629A2A
70	PF_Cali	M00873	Fatty acid biosynthesis in mitochondria, animals	Pathway modules	Lipid metabolism	Fatty acid metabolism	K18660 K03955+K00645 K09458 K11539+K13370 K22540 K07512	0.25	False	K00645,K09458	4071,4068	None	629A2A
